# ----------------------------------------
# Key event attribution paths
# Account: Inspira Hotels
# Property: https://www.inspirahotels.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260302
Primary channel group path,Data-driven path attributed key events,Key events,Purchase revenue,Days to key event,Touch points to key event
"[""Organic Search"",""Email"",""Email""]",NaN,1,250.749999,1,3
"[""Organic Search"",""Paid Search"",""Unassigned""]",NaN,1,250.75,11,3
"[""Unassigned"",""Paid Search"",""Paid Search"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Organic Search""]",NaN,1,251.999999,0,10
"[""Organic Search"",""Unassigned"",""Referral"",""Referral"",""Referral""]",NaN,1,252.879997,0,5
"[""Organic Search"",""Organic Social""]",NaN,1,260.1,10,2
"[""Organic Search"",""Unassigned"",""Organic Social"",""Organic Search""]",NaN,1,264.599998,0,4
"[""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral""]",NaN,1,285.599998,9,8
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Referral""]",NaN,1,295.849996,0,5
"[""Organic Search"",""Organic Search"",""Organic Search"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,297.499998,66,20
"[""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Unassigned"",""Referral""]",NaN,1,300.479998,5,6
"[""Unassigned"",""Organic Social"",""Referral""]",NaN,1,305.499998,0,3
"[""Unassigned"",""Paid Social"",""Unassigned"",""Unassigned""]",NaN,1,305.76,3,4
"[""Paid Search"",""Paid Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Paid Search"",""Referral"",""Referral"",""Referral""]",NaN,1,309.399997,0,10
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Referral""]",NaN,1,309.399998,0,8
"[""Organic Search"",""Email""]",NaN,1,313.2,14,2
"[""Unassigned"",""Unassigned"",""Organic Search"",""Referral""]",NaN,1,315.349998,0,4
"[""Unassigned"",""Unassigned"",""Referral"",""Unassigned"",""Referral""]",NaN,1,315.75,0,5
"[""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Organic Search"",""Paid Social""]",NaN,1,327.599997,0,9
"[""Organic Search"",""Organic Search"",""Organic Search"",""Referral"",""Referral""]",NaN,1,335.960001,0,5
"[""Unassigned"",""Unassigned"",""Unassigned"",""Referral"",""Referral""]",NaN,1,350.619998,0,5
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,1,351.999999,3,9
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,1,357,0,9
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,1,360.499999,0,10
"[""Paid Social"",""Organic Search"",""Paid Search""]",NaN,1,362.949999,3,3
"[""Unassigned"",""Unassigned"",""Unassigned"",""Email"",""Email""]",NaN,1,374.5,3,5
"[""Paid Search"",""Paid Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,1,379.309999,1,7
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,1,382.499998,14,10
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Unassigned"",""Unassigned""]",NaN,1,388,1,7
